# Constructed from biom file
#OTU ID	10777.000066307.R1	10777.000066317.R1	10777.000066272.R1	10777.000066262.R1	10777.000066235.R1	10777.000066261.R1	10777.000066240.R1	10777.000066260.R1	10777.000066293.R1	10777.000066274.R1	10777.000066249.R1	10777.000066282.R1	10777.000066318.R1	10777.000066328.R1	10777.000066239.R1	10777.000066327.R1	10777.000066314.R1	10777.000066277.R1	10777.000066279.R1	10777.000066250.R1	10777.000066292.R1	10777.000066308.R1	10777.000066246.R1	10777.000066281.R1	10777.000066273.R1	10777.000066294.R1	10777.000066271.R1	10777.000066311.R1	10777.000066290.R1	10777.000066253.R1	10777.000066267.R1	10777.000066319.R1	10777.000066302.R1	10777.000066315.R1	10777.000066300.R1	10777.000066247.R1	10777.000066288.R1	10777.000066313.R1	10777.000066285.R1	10777.000066259.R1	10777.000066301.R1	10777.000066284.R1	10777.000066244.R1	10777.000066255.R1	10777.000066286.R1	10777.000066322.R1	10777.000066304.R1	10777.000066320.R1	10777.000066234.R1	10777.000066269.R1	10777.000066237.R1	10777.000066268.R1	10777.000066296.R1	10777.000066254.R1	10777.000066306.R1	10777.000066256.R1	10777.000066291.R1	10777.000066270.R1	10777.000066280.R1	10777.000066258.R1	10777.000066283.R1	10777.000066238.R1	10777.000066265.R1	10777.000066316.R1	10777.000066287.R1	10777.000066325.R1	10777.000066278.R1	10777.000066321.R1	10777.000066299.R1	10777.000066248.R1	10777.000066312.R1	10777.000066324.R1	10777.000066309.R1	10777.000066245.R1	10777.000066257.R1	10777.000066243.R1	10777.000066326.R1	10777.000066275.R1	10777.000066236.R1	10777.000066264.R1	10777.000066310.R1	10777.000066298.R1	10777.000066297.R1	10777.000066276.R1	10777.000066266.R1	10777.000066242.R1	10777.000066289.R1	10777.000066251.R1	10777.000066305.R1	10777.000066295.R1	10777.000066252.R1	10777.000066323.R1
c59161ae395fd5322d2f192f13cfb31d	18.0	0.0	0.0	0.0	0.0	5.0	2.0	24.0	6.0	16.0	10.0	0.0	25.0	8.0	0.0	12.0	0.0	0.0	0.0	0.0	32.0	1.0	0.0	0.0	0.0	0.0	1.0	6.0	25.0	23.0	0.0	0.0	7.0	1.0	8.0	0.0	15.0	9.0	8.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	14.0	2.0	10.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	13.0	7.0	8.0	9.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	11.0	12.0	0.0	12.0	6.0	1.0	17.0	0.0	2.0	0.0	0.0	0.0	8.0	12.0
6631962028deadb13ab2ab64b17297ff	22.0	15.0	0.0	0.0	0.0	1.0	0.0	0.0	8.0	0.0	4.0	0.0	13.0	31.0	0.0	2.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	6.0	18.0	0.0	0.0	11.0	11.0	0.0	16.0	0.0	0.0	0.0	4.0	33.0	18.0	8.0	0.0	0.0	0.0	0.0	4.0	0.0	9.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	5.0	0.0	17.0	0.0	10.0	18.0	0.0	2.0	20.0	0.0	0.0	0.0	8.0	16.0	11.0	20.0	6.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	4.0	4.0	43.0	7.0	0.0	28.0
926708e33d1ebf1a9da757f78c673190	8.0	105.0	3.0	3.0	110.0	73.0	0.0	1.0	11.0	0.0	86.0	3.0	10.0	30.0	24.0	1.0	24.0	16.0	20.0	4.0	4.0	9.0	0.0	1.0	46.0	3.0	63.0	32.0	3.0	4.0	100.0	102.0	11.0	21.0	2.0	143.0	11.0	3.0	39.0	53.0	67.0	3.0	5.0	61.0	4.0	17.0	3.0	0.0	2.0	80.0	24.0	1.0	5.0	2.0	9.0	2.0	101.0	0.0	3.0	3.0	16.0	0.0	52.0	52.0	50.0	45.0	1.0	85.0	36.0	8.0	6.0	56.0	22.0	86.0	50.0	58.0	24.0	45.0	0.0	1.0	3.0	6.0	15.0	3.0	2.0	3.0	1.0	18.0	40.0	15.0	2.0	19.0
2db10c53c78527cfba5caa44da949557	14.0	104.0	0.0	1.0	0.0	5.0	0.0	0.0	9.0	2.0	12.0	3.0	29.0	24.0	0.0	5.0	25.0	17.0	0.0	2.0	6.0	1.0	0.0	4.0	34.0	1.0	8.0	25.0	7.0	5.0	22.0	40.0	1.0	28.0	0.0	7.0	0.0	8.0	21.0	24.0	6.0	7.0	1.0	7.0	1.0	11.0	0.0	8.0	0.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	8.0	0.0	3.0	1.0	30.0	3.0	9.0	4.0	39.0	4.0	1.0	19.0	10.0	0.0	6.0	3.0	3.0	17.0	8.0	9.0	6.0	33.0	0.0	0.0	2.0	5.0	16.0	6.0	0.0	0.0	10.0	4.0	7.0	3.0	2.0	25.0
63f7c1f9414c249a40cd90ecbb4e1bc7	16.0	0.0	0.0	1.0	0.0	2.0	8.0	0.0	49.0	0.0	23.0	2.0	11.0	24.0	0.0	2.0	1.0	0.0	0.0	3.0	5.0	1.0	5.0	0.0	19.0	10.0	20.0	24.0	33.0	5.0	22.0	3.0	1.0	2.0	0.0	0.0	0.0	34.0	4.0	22.0	0.0	14.0	33.0	0.0	3.0	1.0	7.0	8.0	3.0	0.0	7.0	0.0	14.0	7.0	0.0	6.0	15.0	7.0	21.0	2.0	0.0	0.0	0.0	0.0	58.0	15.0	6.0	24.0	7.0	0.0	6.0	0.0	0.0	1.0	46.0	24.0	2.0	7.0	9.0	2.0	7.0	2.0	31.0	21.0	1.0	12.0	30.0	0.0	27.0	0.0	0.0	60.0
aa29dbddf504e9fe7b9c6216f2523927	9.0	0.0	8.0	2.0	1.0	0.0	7.0	2.0	8.0	2.0	3.0	23.0	12.0	0.0	0.0	4.0	1.0	9.0	11.0	6.0	2.0	7.0	2.0	1.0	12.0	1.0	0.0	12.0	1.0	1.0	0.0	7.0	0.0	12.0	1.0	0.0	2.0	1.0	24.0	0.0	9.0	9.0	32.0	1.0	0.0	13.0	3.0	4.0	0.0	1.0	0.0	6.0	6.0	6.0	2.0	8.0	8.0	0.0	22.0	0.0	2.0	3.0	0.0	6.0	161.0	22.0	4.0	5.0	19.0	2.0	4.0	18.0	9.0	20.0	1.0	1.0	1.0	0.0	0.0	2.0	8.0	2.0	33.0	7.0	0.0	5.0	8.0	0.0	9.0	16.0	1.0	13.0
b19ae8a75dd67cbfd20f896b6cddc0f2	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
43f9dcebb22bcc6e3c64a3b9420c903d	15.0	134.0	6.0	4.0	10.0	8.0	3.0	19.0	12.0	11.0	17.0	0.0	2.0	5.0	12.0	3.0	12.0	12.0	23.0	36.0	12.0	5.0	1.0	1.0	38.0	14.0	12.0	8.0	5.0	0.0	50.0	5.0	18.0	15.0	24.0	29.0	5.0	2.0	46.0	38.0	13.0	9.0	3.0	20.0	8.0	6.0	9.0	9.0	24.0	33.0	3.0	9.0	10.0	8.0	0.0	44.0	17.0	11.0	27.0	17.0	16.0	23.0	4.0	45.0	6.0	30.0	7.0	19.0	42.0	25.0	5.0	6.0	12.0	12.0	0.0	38.0	2.0	27.0	27.0	35.0	8.0	2.0	7.0	21.0	3.0	2.0	12.0	16.0	16.0	11.0	40.0	19.0
a0750f0993d1026613b6ca4782ee6c1f	10.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	7.0	0.0	1.0	0.0	2.0	3.0	4.0	1.0	0.0	4.0	9.0	0.0	0.0	0.0	0.0	3.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	27.0	0.0	1.0	2.0	2.0	5.0	0.0	0.0	12.0	0.0	4.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	2.0	30.0	9.0	12.0	0.0	3.0	4.0	0.0	0.0	6.0	2.0	0.0	2.0	2.0	6.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	2.0
c4c2d41e16776112569f6c6e058e811e	11.0	4.0	0.0	0.0	6.0	8.0	0.0	0.0	4.0	0.0	0.0	0.0	3.0	2.0	0.0	4.0	4.0	1.0	8.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	5.0	5.0	0.0	2.0	10.0	2.0	0.0	1.0	0.0	3.0	0.0	0.0	5.0	9.0	8.0	0.0	0.0	9.0	0.0	3.0	0.0	1.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	5.0	0.0	3.0	13.0	27.0	9.0	0.0	5.0	9.0	0.0	0.0	2.0	5.0	14.0	9.0	4.0	10.0	6.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	4.0	5.0	9.0	4.0	0.0	6.0
